Interval,Transfer,Bitrate,Retr,Cwnd
58470,connected,to,10.45.0.14,port
MBytes,11.4,Mbits/sec,0,109
MBytes,30.4,Mbits/sec,0,274
MBytes,14.7,Mbits/sec,0,358
MBytes,13.6,Mbits/sec,0,434
MBytes,22.0,Mbits/sec,1,552
MBytes,25.2,Mbits/sec,0,695
MBytes,21.0,Mbits/sec,0,810
MBytes,10.5,Mbits/sec,0,870
MBytes,10.5,Mbits/sec,0,927
MBytes,27.3,Mbits/sec,160,710
MBytes,12.6,Mbits/sec,3,764
MBytes,23.1,Mbits/sec,19,577
MBytes,26.2,Mbits/sec,0,616
MBytes,28.3,Mbits/sec,0,644
MBytes,22.0,Mbits/sec,0,660
MBytes,28.3,Mbits/sec,0,667
MBytes,34.6,Mbits/sec,0,669
MBytes,16.8,Mbits/sec,0,669
MBytes,30.4,Mbits/sec,0,670
MBytes,24.1,Mbits/sec,0,675
MBytes,24.1,Mbits/sec,0,686
MBytes,23.1,Mbits/sec,0,711
MBytes,19.9,Mbits/sec,0,745
MBytes,19.9,Mbits/sec,0,794
MBytes,22.0,Mbits/sec,0,869
MBytes,14.7,Mbits/sec,0,928
MBytes,32.5,Mbits/sec,59,723
MBytes,25.2,Mbits/sec,0,810
MBytes,28.3,Mbits/sec,0,881
MBytes,33.6,Mbits/sec,0,933
MBytes,39.8,Mbits/sec,0,969
MBytes,15.7,Mbits/sec,158,687
MBytes,27.3,Mbits/sec,0,736
MBytes,24.1,Mbits/sec,0,779
MBytes,31.5,Mbits/sec,0,808
MBytes,37.7,Mbits/sec,0,825
MBytes,40.9,Mbits/sec,0,833
MBytes,43.0,Mbits/sec,0,835
MBytes,41.9,Mbits/sec,0,835
MBytes,41.9,Mbits/sec,0,836
MBytes,43.0,Mbits/sec,0,841
MBytes,43.0,Mbits/sec,0,854
MBytes,41.9,Mbits/sec,0,877
MBytes,41.9,Mbits/sec,0,912
MBytes,41.9,Mbits/sec,0,965
MBytes,43.0,Mbits/sec,0,1.01
MBytes,44.0,Mbits/sec,0,1.11
MBytes,44.0,Mbits/sec,0,1.22
MBytes,41.9,Mbits/sec,0,1.36
MBytes,41.9,Mbits/sec,0,1.54
MBytes,41.9,Mbits/sec,0,1.74
MBytes,43.0,Mbits/sec,0,1.98
MBytes,41.9,Mbits/sec,0,2.25
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,40.9,Mbits/sec,0,2.53
MBytes,44.0,Mbits/sec,0,2.53
MBytes,40.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,44.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,40.9,Mbits/sec,0,2.53
MBytes,44.0,Mbits/sec,0,2.53
MBytes,40.9,Mbits/sec,0,2.53
MBytes,44.0,Mbits/sec,0,2.53
MBytes,40.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,44.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,44.0,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,41.9,Mbits/sec,0,2.53
MBytes,43.0,Mbits/sec,0,2.53
MBytes,36.8,Mbits/sec,400,sender
MBytes,36.6,Mbits/sec,receiver,
