Interval,Transfer,Bitrate,Retr,Cwnd
42816,connected,to,10.45.0.14,port
KBytes,5.16,Mbits/sec,1,69.8
MBytes,8.39,Mbits/sec,0,118
MBytes,13.6,Mbits/sec,0,196
MBytes,17.8,Mbits/sec,0,294
MBytes,18.9,Mbits/sec,0,399
MBytes,18.9,Mbits/sec,0,502
MBytes,18.9,Mbits/sec,0,609
MBytes,19.9,Mbits/sec,0,717
MBytes,15.7,Mbits/sec,0,808
MBytes,22.0,Mbits/sec,0,931
MBytes,18.9,Mbits/sec,0,1.01
MBytes,18.9,Mbits/sec,0,1.11
MBytes,18.9,Mbits/sec,0,1.22
MBytes,16.8,Mbits/sec,0,1.32
MBytes,16.8,Mbits/sec,0,1.48
MBytes,15.7,Mbits/sec,0,1.72
MBytes,16.8,Mbits/sec,0,2.03
MBytes,17.8,Mbits/sec,0,2.40
MBytes,17.8,Mbits/sec,0,2.47
MBytes,16.8,Mbits/sec,0,2.47
MBytes,13.6,Mbits/sec,0,2.47
MBytes,19.9,Mbits/sec,0,2.47
MBytes,17.8,Mbits/sec,0,2.47
MBytes,16.8,Mbits/sec,0,2.47
MBytes,19.9,Mbits/sec,0,2.47
MBytes,15.7,Mbits/sec,0,2.47
MBytes,19.9,Mbits/sec,0,2.47
MBytes,16.8,Mbits/sec,0,2.47
MBytes,15.7,Mbits/sec,0,2.47
MBytes,14.7,Mbits/sec,0,2.47
MBytes,22.0,Mbits/sec,0,2.47
MBytes,16.8,Mbits/sec,0,2.47
MBytes,16.8,Mbits/sec,0,2.47
MBytes,17.8,Mbits/sec,0,2.47
MBytes,16.8,Mbits/sec,0,2.47
MBytes,17.8,Mbits/sec,0,2.47
MBytes,9.44,Mbits/sec,0,2.47
MBytes,25.2,Mbits/sec,42,1.89
MBytes,17.8,Mbits/sec,53,1.73
MBytes,13.6,Mbits/sec,204,1.27
MBytes,22.0,Mbits/sec,0,1.25
MBytes,18.9,Mbits/sec,0,1.31
MBytes,17.8,Mbits/sec,0,1.37
MBytes,16.8,Mbits/sec,0,1.42
MBytes,17.8,Mbits/sec,0,1.46
MBytes,17.8,Mbits/sec,0,1.48
MBytes,16.8,Mbits/sec,0,1.49
MBytes,18.9,Mbits/sec,0,1.50
MBytes,19.9,Mbits/sec,0,1.50
MBytes,16.8,Mbits/sec,0,1.50
MBytes,17.8,Mbits/sec,0,1.50
MBytes,16.8,Mbits/sec,0,1.51
MBytes,11.5,Mbits/sec,0,1.52
MBytes,24.1,Mbits/sec,0,1.55
MBytes,16.8,Mbits/sec,0,1.59
MBytes,16.8,Mbits/sec,0,1.65
MBytes,16.8,Mbits/sec,0,1.73
MBytes,16.8,Mbits/sec,0,1.82
MBytes,17.8,Mbits/sec,0,1.95
MBytes,14.7,Mbits/sec,0,2.08
MBytes,18.9,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,18.9,Mbits/sec,0,2.25
MBytes,18.9,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,15.7,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,14.7,Mbits/sec,0,2.25
MBytes,21.0,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,17.8,Mbits/sec,0,2.25
MBytes,16.8,Mbits/sec,0,2.25
MBytes,18.9,Mbits/sec,0,2.25
