Interval,Transfer,Bitrate,Retr,Cwnd
33688,connected,to,10.45.0.14,port
MBytes,15.5,Mbits/sec,0,111
MBytes,40.9,Mbits/sec,0,338
MBytes,46.1,Mbits/sec,0,594
MBytes,48.2,Mbits/sec,0,856
MBytes,46.1,Mbits/sec,0,1.09
MBytes,44.0,Mbits/sec,0,1.34
MBytes,41.9,Mbits/sec,0,1.59
MBytes,41.9,Mbits/sec,0,1.84
MBytes,41.9,Mbits/sec,0,2.10
MBytes,43.0,Mbits/sec,0,2.35
MBytes,41.9,Mbits/sec,0,2.54
MBytes,40.9,Mbits/sec,0,2.54
MBytes,45.1,Mbits/sec,0,2.54
MBytes,40.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,44.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,40.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,40.9,Mbits/sec,0,2.54
MBytes,44.0,Mbits/sec,0,2.54
MBytes,40.9,Mbits/sec,0,2.54
MBytes,44.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,39.8,Mbits/sec,0,2.54
MBytes,45.1,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,43.0,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,41.9,Mbits/sec,0,2.54
MBytes,42.3,Mbits/sec,0,sender
MBytes,42.1,Mbits/sec,receiver,
