Interval,Transfer,Bitrate,Retr,Cwnd
50918,connected,to,10.45.0.14,port
MBytes,15.1,Mbits/sec,0,109
MBytes,39.8,Mbits/sec,0,329
MBytes,46.1,Mbits/sec,0,584
MBytes,48.2,Mbits/sec,0,846
MBytes,47.2,Mbits/sec,0,1.08
MBytes,43.0,Mbits/sec,0,1.33
MBytes,41.9,Mbits/sec,0,1.59
MBytes,43.0,Mbits/sec,0,1.84
MBytes,41.9,Mbits/sec,0,2.09
MBytes,41.9,Mbits/sec,0,2.34
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,40.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,28.3,Mbits/sec,0,2.51
MBytes,25.2,Mbits/sec,0,2.51
MBytes,34.6,Mbits/sec,0,2.51
MBytes,37.7,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,26.2,Mbits/sec,0,2.51
MBytes,15.7,Mbits/sec,0,2.51
MBytes,26.2,Mbits/sec,0,2.51
MBytes,27.3,Mbits/sec,0,2.51
MBytes,16.8,Mbits/sec,0,2.51
MBytes,19.9,Mbits/sec,0,2.51
MBytes,17.8,Mbits/sec,0,2.51
MBytes,18.9,Mbits/sec,0,2.51
MBytes,14.7,Mbits/sec,0,2.51
MBytes,21.0,Mbits/sec,0,2.51
MBytes,28.3,Mbits/sec,0,2.51
MBytes,22.0,Mbits/sec,0,2.51
MBytes,19.9,Mbits/sec,0,2.51
MBytes,22.0,Mbits/sec,0,2.51
MBytes,32.5,Mbits/sec,0,2.51
MBytes,37.7,Mbits/sec,0,2.51
MBytes,40.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,31.5,Mbits/sec,0,2.51
MBytes,19.9,Mbits/sec,0,2.51
MBytes,17.8,Mbits/sec,0,2.51
MBytes,26.2,Mbits/sec,0,2.51
MBytes,23.1,Mbits/sec,0,2.51
MBytes,26.2,Mbits/sec,0,2.51
MBytes,33.6,Mbits/sec,0,2.51
MBytes,38.8,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,41.9,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,43.0,Mbits/sec,0,2.51
MBytes,38.3,Mbits/sec,0,sender
MBytes,38.1,Mbits/sec,receiver,
