Interval,Transfer,Bitrate,Retr,Cwnd,,
46588,connected,to,10.45.0.14,port,,
KBytes,3.12,Mbits/sec,0,60.6,,
MBytes,18.9,Mbits/sec,0,162,,1.702622951
MBytes,32.5,Mbits/sec,0,348,,
MBytes,32.5,Mbits/sec,0,521,,
MBytes,8.39,Mbits/sec,0,574,,
KBytes,2.1,Mbits/sec,0,584,,
Bytes,0,bits/sec,0,584,,
Bytes,0,bits/sec,1,587,,
KBytes,5.24,Mbits/sec,0,613,,
KBytes,1.05,Mbits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,0,617,,
Bytes,0,bits/sec,1,1.32,,
MBytes,10.5,Mbits/sec,115,648,,
KBytes,5.24,Mbits/sec,60,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,0,648,,
Bytes,0,bits/sec,1,1.32,,
MBytes,28.3,Mbits/sec,218,758,,
MBytes,23.1,Mbits/sec,0,907,,
MBytes,19.9,Mbits/sec,43,670,,
Bytes,0,bits/sec,0,670,,
Bytes,0,bits/sec,0,670,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,1,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
Bytes,0,bits/sec,0,1.32,,
KBytes,1.05,Mbits/sec,0,1006,,
MBytes,10.5,Mbits/sec,0,1.19,,
KBytes,2.1,Mbits/sec,0,1.19,,
MBytes,1.7,Mbits/sec,444,sender,,
MBytes,1.53,Mbits/sec,receiver,,,
