Interval,Transfer,Bitrate,Retr,Cwnd
37466,connected,to,10.45.0.14,port
MBytes,18.6,Mbits/sec,0,184
MBytes,16.8,Mbits/sec,0,274
MBytes,21.0,Mbits/sec,0,395
MBytes,19.9,Mbits/sec,0,506
MBytes,27.3,Mbits/sec,0,654
MBytes,32.5,Mbits/sec,0,831
MBytes,38.8,Mbits/sec,0,1.02
MBytes,41.9,Mbits/sec,0,1.25
MBytes,40.9,Mbits/sec,0,1.51
MBytes,40.9,Mbits/sec,0,1.75
MBytes,40.9,Mbits/sec,0,1.99
MBytes,39.8,Mbits/sec,0,2.23
MBytes,41.9,Mbits/sec,0,2.48
MBytes,39.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,39.8,Mbits/sec,0,2.52
MBytes,44.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,39.8,Mbits/sec,0,2.52
MBytes,44.0,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,45.1,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,43.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,2.52
MBytes,44.0,Mbits/sec,0,2.52
MBytes,41.9,Mbits/sec,0,2.52
MBytes,40.9,Mbits/sec,0,sender
MBytes,40.7,Mbits/sec,receiver,
