-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,
Server,listening,on,5201,,,,,,,,,,,,,,,,,,,,,
-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,connection,from,"10.45.0.14,",port,46458,,,,,,,,,,,,,,,,,,,
[,5],local,10.45.0.1,port,5201,connected,to,10.45.0.14,port,46460,,,,,,,,,,,,,,
[,ID],Interval,Transfer,Bitrate,,,,,,,,,,,,,,,,,,,,
[,5],0.00-1.00,sec,224,KBytes,1.83,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],1.00-2.00,sec,226,KBytes,1.85,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],2.00-3.00,sec,230,KBytes,1.89,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],3.00-4.00,sec,225,KBytes,1.84,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],4.00-5.00,sec,154,KBytes,1.26,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],5.00-6.00,sec,128,KBytes,1.05,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],6.00-7.00,sec,124,KBytes,1.01,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],7.00-8.00,sec,184,KBytes,1.51,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],8.00-9.00,sec,299,KBytes,2.45,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],9.00-10.00,sec,305,KBytes,2.5,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],10.00-11.00,sec,330,KBytes,2.71,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],11.00-12.00,sec,226,KBytes,1.85,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],12.00-13.00,sec,204,KBytes,1.67,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],13.00-14.00,sec,159,KBytes,1.3,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],14.00-15.00,sec,196,KBytes,1.61,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],15.00-16.00,sec,319,KBytes,2.61,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],16.00-17.00,sec,259,KBytes,2.12,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],17.00-18.00,sec,232,KBytes,1.9,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],18.00-19.00,sec,113,KBytes,927,Kbits/sec,,,,,,,,,,,,,,,,,
[,5],19.00-20.00,sec,150,KBytes,1.23,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],20.00-21.00,sec,300,KBytes,2.46,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],21.00-22.00,sec,338,KBytes,2.77,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],22.00-23.00,sec,280,KBytes,2.3,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],23.00-24.00,sec,319,KBytes,2.61,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],24.00-25.00,sec,400,KBytes,3.28,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],25.00-26.00,sec,457,KBytes,3.74,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],26.00-27.00,sec,473,KBytes,3.87,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],27.00-28.00,sec,445,KBytes,3.64,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],28.00-29.00,sec,482,KBytes,3.95,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],29.00-30.00,sec,438,KBytes,3.59,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],30.00-31.00,sec,396,KBytes,3.25,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],31.00-32.00,sec,434,KBytes,3.56,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],32.00-33.00,sec,508,KBytes,4.16,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],33.00-34.00,sec,506,KBytes,4.14,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],34.00-35.00,sec,477,KBytes,3.9,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],35.00-36.00,sec,459,KBytes,3.76,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],36.00-37.00,sec,423,KBytes,3.46,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],37.00-38.00,sec,459,KBytes,3.76,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],38.00-39.00,sec,428,KBytes,3.5,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],39.00-40.00,sec,417,KBytes,3.42,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],40.00-41.00,sec,419,KBytes,3.43,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],41.00-42.00,sec,392,KBytes,3.21,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],42.00-43.00,sec,409,KBytes,3.35,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],43.00-44.00,sec,399,KBytes,3.27,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],44.00-45.00,sec,425,KBytes,3.48,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],45.00-46.00,sec,405,KBytes,3.32,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],46.00-47.00,sec,404,KBytes,3.31,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],47.00-48.00,sec,440,KBytes,3.6,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],48.00-49.00,sec,436,KBytes,3.57,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],49.00-50.00,sec,383,KBytes,3.14,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],50.00-51.00,sec,388,KBytes,3.18,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],51.00-52.00,sec,341,KBytes,2.79,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],52.00-53.00,sec,334,KBytes,2.74,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],53.00-54.00,sec,326,KBytes,2.67,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],54.00-55.00,sec,328,KBytes,2.69,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],55.00-56.00,sec,345,KBytes,2.83,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],56.00-57.00,sec,380,KBytes,3.12,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],57.00-58.00,sec,383,KBytes,3.14,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],58.00-59.00,sec,507,KBytes,4.15,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],59.00-60.00,sec,496,KBytes,4.07,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],60.00-61.00,sec,508,KBytes,4.16,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],61.00-62.00,sec,499,KBytes,4.09,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],62.00-63.00,sec,521,KBytes,4.27,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],63.00-64.00,sec,506,KBytes,4.14,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],64.00-65.00,sec,529,KBytes,4.34,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],65.00-66.00,sec,500,KBytes,4.1,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],66.00-67.00,sec,511,KBytes,4.18,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],67.00-68.00,sec,506,KBytes,4.14,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],68.00-69.00,sec,525,KBytes,4.3,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],69.00-70.00,sec,515,KBytes,4.22,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],70.00-71.00,sec,528,KBytes,4.32,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],71.00-72.00,sec,521,KBytes,4.27,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],72.00-73.00,sec,524,KBytes,4.29,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],73.00-74.00,sec,515,KBytes,4.22,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],74.00-75.00,sec,537,KBytes,4.4,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],75.00-76.00,sec,541,KBytes,4.43,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],76.00-77.00,sec,548,KBytes,4.49,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],77.00-78.00,sec,515,KBytes,4.22,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],78.00-79.00,sec,525,KBytes,4.3,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],79.00-80.00,sec,527,KBytes,4.31,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],80.00-81.00,sec,524,KBytes,4.29,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],81.00-82.00,sec,529,KBytes,4.34,Mbits/sec,,,,,,,,,,,,,,,,,
